장소명,카테고리,기준연도,기준월,내국인_방문객수,내국인_전년동월,내국인_증감률,외국인_방문객수,외국인_전년동월,외국인_증감률,연령_tenage_belo_방문객수,연령_twenty_방문객수,연령_thirty_방문객수,연령_forty_방문객수,연령_ffty_방문객수,연령_sxty_abov_방문객수,요일_mon_비율,요일_tue_비율,요일_wed_비율,요일_thu_비율,요일_fri_비율,요일_sat_비율,요일_sun_비율,전체방문자수(요일집계기준),출신시도_seoul_비율,출신시도_gyeonggi_비율,출신시도_incheon_비율,출신시도_gangwon_비율,출신시도_sejong_비율,출신시도_daejeon_비율,출신시도_chungnam_비율,출신시도_chungbuk_비율,출신시도_jeonbuk_비율,출신시도_jeonnam_비율,출신시도_gwangju_비율,출신시도_gyeonbuk_비율,출신시도_gyeonnam_비율,출신시도_daegu_비율,출신시도_busan_비율,출신시도_ulsan_비율,출신시도_jeju_비율
홍대 관광특구,관광특구,2026,07,3614214.43,3493868.88,0.034,1283725.0,1333281.7,-0.037,8578.44,1551736.1,811914.41,417218.72,309957.66,259835.74,0.105,0.106,0.139,0.148,0.182,0.18,0.142,4897939.43,0.803,0.142,0.042,0.0,0.001,0.002,0.004,0.002,0.0,0.0,0.0,0.001,0.001,0.001,0.002,0.0,0.001
명동 관광특구,관광특구,2026,07,3007983.97,2865571.41,0.05,1735403.0,1651130.73,0.051,9108.88,565052.65,722410.26,657018.38,570378.31,641866.71,0.121,0.13,0.166,0.171,0.176,0.136,0.101,4743386.97,0.845,0.115,0.026,0.0,0.001,0.002,0.003,0.002,0.0,0.0,0.0,0.001,0.001,0.001,0.003,0.0,0.001
성수카페거리,발달상권,2026,07,813070.87,801313.59,0.015,442992.0,407374.09,0.087,3971.34,312956.99,197101.05,121569.54,86517.44,71743.95,0.113,0.113,0.145,0.156,0.181,0.16,0.132,1256062.87,0.833,0.131,0.019,0.0,0.001,0.002,0.004,0.003,0.0,0.0,0.0,0.002,0.001,0.001,0.002,0.0,0.0
경복궁,고궁·문화유산,2026,07,21698.54,27947.58,-0.224,8178.5,11459.0,-0.286,27.0,3816.42,5942.07,4607.0,4071.27,4085.65,0.135,0.127,0.188,0.188,0.185,0.102,0.075,29877.04,0.855,0.115,0.015,0.0,0.003,0.001,0.003,0.003,0.0,0.0,0.0,0.002,0.001,0.001,0.001,0.0,0.0
잠실 관광특구,관광특구,2026,07,4383784.02,3994482.18,0.097,1112798.0,1007704.29,0.104,38282.76,971691.54,973551.29,754524.91,533423.76,760715.34,0.097,0.103,0.139,0.145,0.183,0.181,0.151,5496582.02,0.786,0.182,0.016,0.0,0.001,0.002,0.005,0.003,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.0,0.0
