english_name,korean_name,raw_categories,raw_category_count
Apgujeong Rodeo Street,압구정 로데오거리,기타체험,1
Banpo Bridge Rainbow Fountain,반포대교 달빛무지개분수,건축/조형물;랜드마크관광,2
Bukchon Hanok Village,북촌한옥마을,역사관광지;역사유적지,2
Bukhansan National Park (Seoul District),북한산국립공원(서울),자연관광지,1
Burdeng Children's Clothing Shopping Center,부르뎅 아동복,쇼핑;전문매장/상가,2
Changdeokgung Palace Complex [UNESCO World Heritage],창덕궁과 후원 [유네스코 세계문화유산],역사관광지;역사유적지,2
Changgyeonggung Palace,창경궁,역사관광지;역사유적지,2
Cheonggyecheon Stream,청계천,도시공원;휴양관광지,2
Children’s Grand Park,서울 어린이대공원,테마공원;휴양관광지,2
Deoksugung Palace,덕수궁,역사관광지;역사유적지,2
Dongdaemun Design Plaza,동대문디자인플라자 (DDP),산업관광;산업관광지,2
Dongdaemun History & Culture Park,동대문역사문화공원,도시공원,1
Dongdaemun Shopping Complex·Dongdaemun Shopping Town,동대문 종합시장·동대문 쇼핑타운,쇼핑;시장,2
Dongdaemun Stationery Store Street,동대문 문구완구거리,체험관광지,1
Goto Mall - Gangnam Terminal Underground Shopping Center,고투몰 (강남터미널 지하도상가),쇼핑,1
Gwanghwamun Gate,광화문,역사유적지,1
Gwanghwamun Square,광화문광장,도시공원,1
Gwangjang Market,광장시장,쇼핑;시장,2
Gwangjang Market Hanbok Shops,광장시장 한복매장,시장,1
Gyeongbokgung Palace,경복궁,역사관광지;역사유적지,2
Hangang River,한강,자연경관(하천‧해양),1
Hangang River Ferry Cruise,이랜드크루즈 (한강유람선),기타체험;휴양관광지,2
Harmony Mart Myeong-dong Station Branch [Korea Quality],하모니마트 명동역점 [한국관광 품질인증/Korea Quality],전문매장/상가,1
Hello apM,헬로에이피엠,쇼핑몰,1
HiKR Ground,하이커 그라운드,문화시설;전시시설,2
Hongdae (Hongik University Street),홍대,체험관광지,1
Hyundai I'PARK Mall,현대 아이파크몰,쇼핑;쇼핑몰,2
Insa-dong,인사동,기타체험;체험관광지,2
Insa-dong Antique Art Street,인사동 고미술거리,전문매장/상가,1
Jongno 3(sam)-ga Jewelry District,종로3가 귀금속 전문상가,쇼핑;전문매장/상가,2
Kyobo Bookstore Co._ Ltd.,(주) 교보문고,기타문화관광지,1
Leeum_ Samsung Museum of Art,삼성미술관 리움,문화시설;전시시설,2
Lotte Department Store - Main Branch,롯데백화점 (본점),백화점;쇼핑,2
Lotte Duty Free Shop - Main Branch,롯데면세점 (본점),쇼핑,1
Lotte Mall - Gimpo Airport Branch,롯데몰 김포공항점,쇼핑몰,1
Lotte World,롯데월드,테마공원;휴양관광지,2
Lotte World Tower & Mall,롯데월드타워&롯데월드몰,랜드마크관광,1
Majang Meat Market,마장 축산물시장,쇼핑;시장,2
Mangwon Market,망원시장,쇼핑,1
Mario Outlet,마리오아울렛,쇼핑;쇼핑몰,2
Myeong-dong,명동,기타체험;체험관광지,2
Myeongdong Kyoja,명동교자,한식,1
Namdaemun Ginseng Market,남대문인삼시장,시장,1
Namdaemun Market,남대문시장,쇼핑;시장,2
Namsan Cable Car,남산 케이블카,기타체험,1
Namsan Seoul Tower,남산서울타워,건축/조형물;랜드마크관광,2
Namsangol Hanok Village,남산골한옥마을,역사관광지;역사유적지,2
National Museum of Korean Contemporary History,대한민국역사박물관,전시시설,1
National Museum of Modern and Contemporary Art_ Seoul [MMCA Seoul],국립현대미술관 서울관,전시시설,1
Seolleung and Jeongneung Royal Tombs [UNESCO World Heritage],서울 선릉(성종과 정현왕후)과 정릉(중종) [유네스코 세계문화유산],역사유적지,1
Seoul Bongeunsa Temple,봉은사 (서울),역사관광지,1
Seoul Folk Flea Market,서울 풍물시장,시장,1
Seoul Forest,서울숲,도시공원;휴양관광지,2
Seoul Jogyesa Temple,조계사(서울),역사관광지;종교성지,2
Seoul Plaza Ice Skating Rink,서울광장 스케이트장,육상 레포츠;육상레저스포츠,2
Seungjin Toy,승진완구,전문매장/상가,1
Shinsegae Department Store - Main Branch,신세계백화점 (본점),백화점;쇼핑,2
Sinsa-dong Garosu-gil Road,신사동 가로수길,기타체험,1
Ssamzigil,쌈지길,도시.지역문화관광;체험관광지,2
Starfield COEX Mall,스타필드 코엑스몰,쇼핑;쇼핑몰,2
Starfield Library,별마당도서관,교육시설;문화시설,2
Sungnyemun Gate,숭례문,역사유적지,1
The War Memorial of Korea,전쟁기념관,전시시설,1
Ttukseom Hangang Park Sledding Hill,한강공원 뚝섬 눈썰매장,육상 레포츠;육상레저스포츠,2
Yeouido Hangang Park,여의도한강공원,도시공원,1
Yongsan ETLand,용산전자랜드,전문매장/상가,1
