순위,관광지ID,관심지점명,구분,연령대,비율
1,94b37da181384604e8bdf68b3217008e,여의도한강공원,관광명소,20,15.9	
2,aa6be6a4f5997ab91804f3b6be58e878,코엑스,문화생활시설,20,9.2	
3,eae638a0117eda42a27a586f77cc0cd3,반포한강공원,관광명소,20,8.9	
4,b2e840beb2fcb66bb33d988c822656ad,뚝섬한강공원,관광명소,20,6.9	
5,b9dc3865498d79141065bc74ea791de7,CGV아이파크몰용산점,문화생활시설,20,5.4	
6,f4cb0345c02d72995cc67111ef093ead,롯데월드잠실점,레저/스포츠,20,4.4	
7,9d58042af96868b01de11722f6a2975f,망원한강공원,관광명소,20,3.5	
8,9dac72fa7ebfaa2eca0d9f9e4e8ddcff,팔각정북악스카이,관광명소,20,3.4	
9,97c0a1427be208a8ca50e879baa895c4,올림픽공원,관광명소,20,3.4	
10,ac50c8b01e74f605a64ac86543f58c2a,헌릉과 인릉,관광명소,20,2.9	
11,6257a372012ce4533ac095b54fd0225d,잠실한강공원,관광명소,20,2.7	
12,23c0e519b9f507a3d130b518ade94d73,잠원한강공원,관광명소,20,2.6	
13,6a4932d3f2787d25a04b758ba68e9db2,어린이대공원,레저/스포츠,20,2.5	
14,273e0e5b0ac26479b4d07c1f7be5b5a0,잠실야구장,레저/스포츠,20,2.4	
15,4c259dd1d968533026e3c9a60cc4c34a,서울숲,관광명소,20,2.4	
16,6d90ad8979e581ffa649eba19ff41f4f,노들섬,관광명소,20,2.2	
17,d6e7d2e0ef86a25cce60aac5332b28dc,국립중앙박물관,문화생활시설,20,2.1	
18,b605a838036e13947e8dd11697cdd276,예술의전당,문화생활시설,20,1.9	
19,0ec5ba872f1179835987f9028c4cc4df,YTN서울타워,관광명소,20,1.9	
20,8ba57fda99dae27f1df09914dc84eb37,서울월드컵경기장,레저/스포츠,20,1.8	
21,09b13816bce6705b422fc4e03e209f80,이촌한강공원,관광명소,20,1.6	
22,eecb51fa7fe2d093d4f424d359a09ac8,양화한강공원,관광명소,20,1.5	
23,7a26ab6765d89defa50ba1df5722052c,고척스카이돔,레저/스포츠,20,1.5	
24,d09b874d48a8ca04e572c4cad24a7b2d,난지한강공원,관광명소,20,1.4	
25,28ced792122c623e78519e57eb441b75,롯데시네마월드타워,문화생활시설,20,1.4	
26,0dfeeac49a5f9056fd1833a00b47a7a4,낙산공원,관광명소,20,1.3	
27,55e0793c51cf907b25b9bed3458f3499,목동실내아이스링크,레저/스포츠,20,1.3	
28,8f9c104f2123fcd914e1cf5de0baef0b,서울식물원,관광명소,20,1.3	
29,72052bd332dcb27c72a17ad8b6cf960a,국립현대미술관서울관,문화생활시설,20,1.2	
30,1e14f5c731dc93b1886b7dfd8e078ff2,고려대아이스링크,레저/스포츠,20,1.2	
